#{"t_start": 1698245975.881836, "env_id": "None"}
r,l,t
-11.0,17,0.010133
0.0,11,0.01796
-2.0,8,0.022177
0.0,6,0.025292
3.0,3,0.027508
-2.0,8,0.032058
6.0,5,0.034555
-7.0,13,0.0414
3.0,8,0.045796
-4.0,10,0.051083
-1.0,7,0.054603
-2.0,8,0.058659
6.0,5,0.06118
-5.0,11,0.066761
-3.0,9,0.07112
4.0,7,0.074772
-1.0,7,0.078396
-4.0,10,0.083381
-3.0,9,0.087885
3.0,8,0.091859
6.0,5,0.094481
-3.0,9,0.099048
1.0,5,0.10157
-5.0,11,0.107093
0.0,6,0.110089
0.0,6,0.113057
-5.0,11,0.118672
-4.0,10,0.123665
-3.0,9,0.128196
-4.0,10,0.133117
-2.0,8,0.137101
2.0,4,0.139193
-4.0,10,0.144148
0.0,6,0.147168
-5.0,16,0.154925
-2.0,8,0.159022
-2.0,8,0.163032
-3.0,9,0.16751
-5.0,11,0.173184
-3.0,9,0.17772
-3.0,9,0.182263
-1.0,7,0.185671
1.0,5,0.188215
-2.0,8,0.192277
-2.0,8,0.196284
-1.0,7,0.199758
-5.0,11,0.205261
0.0,6,0.208264
-4.0,10,0.213284
-1.0,7,0.216793
-1.0,7,0.220316
0.0,6,0.22334
-1.0,12,0.229282
-8.0,14,0.236333
2.0,9,0.240825
1.0,5,0.243481
-2.0,8,0.247465
5.0,6,0.250461
-3.0,9,0.255106
4.0,7,0.258625
3.0,8,0.262752
1.0,5,0.265419
4.0,7,0.268946
-2.0,8,0.273048
-4.0,10,0.278181
5.0,6,0.281157
0.0,11,0.286731
-3.0,9,0.291291
2.0,4,0.293368
0.0,6,0.296335
2.0,9,0.300856
-4.0,10,0.305909
6.0,5,0.308411
0.0,6,0.311518
1.0,10,0.316532
6.0,5,0.319292
-2.0,8,0.323378
0.0,6,0.326496
0.0,6,0.329518
6.0,5,0.331985
-1.0,12,0.338023
-4.0,10,0.343026
1.0,5,0.34558
4.0,7,0.349082
-1.0,7,0.353598
-1.0,7,0.358072
0.0,11,0.364336
0.0,6,0.367511
-2.0,8,0.371894
-2.0,8,0.376099
4.0,7,0.37957
0.0,11,0.385534
-1.0,7,0.390208
5.0,6,0.393279
-3.0,9,0.398178
6.0,5,0.401876
7.0,4,0.404243
